GeneID,RTproportion,sampleType
ENSG00000169100.14,4.332242293,control
ENSG00000167747.15,0.718384891,control
ENSG00000165802.23,2.566078449,control
ENSG00000165282.14,8.156561495,control
ENSG00000164946.20,38.65564494,control
ENSG00000164050.13,6.666066847,control
ENSG00000163507.14,46.86148742,control
ENSG00000163251.4,6.302949447,control
ENSG00000162882.15,52.45052135,control
ENSG00000161944.16,2.059045851,control
ENSG00000160294.11,9.952310799,control
ENSG00000160193.12,60.97686509,control
ENSG00000158874.11,0.024716915,control
ENSG00000158604.15,25.46548207,control
ENSG00000157399.16,14.86964881,control
ENSG00000152291.14,4.674310745,control
ENSG00000150779.12,6.599655356,control
ENSG00000149485.19,4.363520494,control
ENSG00000147813.16,37.90970179,control
ENSG00000147164.12,10.34152262,control
ENSG00000146574.16,37.64038775,control
ENSG00000146535.14,24.15331498,control
ENSG00000146038.12,22.08155998,control
ENSG00000145919.11,3.834983374,control
ENSG00000144045.14,7.483972527,control
ENSG00000143409.15,60.85452945,control
ENSG00000140326.13,10.71904295,control
ENSG00000139194.8,4.217015391,control
ENSG00000137713.16,25.24239753,control
ENSG00000136827.12,8.369935258,control
ENSG00000135698.10,12.77039088,control
ENSG00000134569.10,9.749673198,control
ENSG00000133818.14,11.96383847,control
ENSG00000133193.12,23.15874036,control
ENSG00000132199.20,7.474612524,control
ENSG00000131153.9,10.56503108,control
ENSG00000131148.9,1.946419292,control
ENSG00000129354.12,6.492234651,control
ENSG00000128699.14,8.459685482,control
ENSG00000127423.11,12.60330559,control
ENSG00000126953.8,33.92253405,control
ENSG00000124571.18,5.226543571,control
ENSG00000123453.18,60.55674877,control
ENSG00000122965.11,6.537769095,control
ENSG00000121579.13,10.23308736,control
ENSG00000121390.19,23.14668864,control
ENSG00000120725.13,46.61845912,control
ENSG00000119559.17,48.18370387,control
ENSG00000116771.6,20.37321662,control
ENSG00000116580.19,30.0912563,control
ENSG00000115561.16,24.07753697,control
ENSG00000115514.12,18.13010503,control
ENSG00000114993.17,19.08801185,control
ENSG00000114850.7,3.941180929,control
ENSG00000114686.9,8.822801101,control
ENSG00000112308.13,6.088349009,control
ENSG00000111196.10,7.180893718,control
ENSG00000105379.10,4.991366518,control
ENSG00000104760.17,14.61734987,control
ENSG00000104228.13,23.85066973,control
ENSG00000103550.14,16.09342356,control
ENSG00000100593.18,19.59588221,control
ENSG00000100445.17,1.539692849,control
ENSG00000100350.15,14.59479045,control
ENSG00000099977.14,31.29488365,control
ENSG00000092330.18,1.939387656,control
ENSG00000092199.18,0.35854396,control
ENSG00000090863.12,1.746526056,control
ENSG00000089094.19,6.838080546,control
ENSG00000085840.13,29.01486872,control
ENSG00000083807.10,8.120901924,control
ENSG00000073614.13,23.33870062,control
ENSG00000070423.18,5.3133149,control
ENSG00000065427.15,0.887701532,control
ENSG00000053371.13,14.52675543,control
ENSG00000044446.12,4.040350731,control
ENSG00000041802.11,5.315779765,control
ENSG00000004455.17,3.159394291,control
ENSG00000011478.13,8.209103321,control
ENSG00000046651.15,27.28566046,control
ENSG00000062716.13,1.631558278,control
ENSG00000065548.18,1.489393756,control
ENSG00000071054.16,0.861054185,control
ENSG00000075420.13,15.17204633,control
ENSG00000077380.16,5.540996659,control
ENSG00000078269.15,9.610572528,control
ENSG00000079459.13,0.788438116,control
ENSG00000084734.9,10.24073212,control
ENSG00000085999.13,6.911048577,control
ENSG00000095380.11,1.387258272,control
ENSG00000100889.12,0.680064957,control
ENSG00000100938.18,0.451718696,control
ENSG00000101337.16,2.175626161,control
ENSG00000102390.11,6.858394533,control
ENSG00000104131.13,6.848762132,control
ENSG00000107185.10,8.420302693,control
ENSG00000109805.10,5.80477016,control
ENSG00000110917.8,0.703540537,control
ENSG00000111058.8,4.067192142,control
ENSG00000111321.11,3.582414529,control
ENSG00000111445.14,6.460636402,control
ENSG00000112578.10,17.17374569,control
ENSG00000115282.21,7.264115553,control
ENSG00000115839.18,3.243555913,control
ENSG00000115946.8,5.797363078,control
ENSG00000117593.12,19.3834821,control
ENSG00000117724.13,5.860371207,control
ENSG00000118518.16,7.99360126,control
ENSG00000119048.8,2.664470115,control
ENSG00000119471.15,53.93473192,control
ENSG00000119782.14,27.05628954,control
ENSG00000120437.9,2.059430414,control
ENSG00000122435.10,10.77955215,control
ENSG00000122873.12,43.29970025,control
ENSG00000124588.22,31.54045289,control
ENSG00000125629.15,4.300780301,control
ENSG00000126261.13,5.356668015,control
ENSG00000127774.7,2.580923259,control
ENSG00000128708.13,7.662096846,control
ENSG00000128944.13,11.80673914,control
ENSG00000129128.13,5.098535236,control
ENSG00000130803.15,3.883553481,control
ENSG00000130988.13,13.46278654,control
ENSG00000132670.20,11.66314439,control
ENSG00000134330.19,10.45870037,control
ENSG00000135249.8,22.25085269,control
ENSG00000136463.8,6.261133589,control
ENSG00000136718.10,1.045783467,control
ENSG00000136731.13,8.376236756,control
ENSG00000136738.15,23.41188315,control
ENSG00000136816.16,7.228318575,control
ENSG00000136824.19,51.01883772,control
ENSG00000136868.11,16.08588553,control
ENSG00000136874.11,12.24027501,control
ENSG00000137106.18,4.138185044,control
ENSG00000138363.15,0.892578533,control
ENSG00000138381.10,3.094204436,control
ENSG00000139133.7,41.11517365,control
