,adipose-subcutaneous,adipose-visceral,artery-aorta,artery-coronary,artery-tibial,brain-cerebellum,brain-cortex,breast-mammary-tissue,colon-sigmoid,esophagus-gastroesophageal-junction,esophagus-mucosa,esophagus-muscularis,heart-atrial-appendage,heart-left-ventricle,liver,lung,muscle-skeletal,nerve-tibial,pituitary,skin-not-sun-exposed,skin-sun-exposed,testis,thyroid
Down,17,206,79,69,436,18,31,157,28,47,40,22,339,25,47,262,28,188,44,49,18,179,153
Up,318,15,24,23,118,50,359,25,33,11,69,56,4,4,1,7,86,9,25,36,45,111,27
